LAMMPS FCC Model for CoCuFeNiPd

  8788 atoms

 5 atom types

-1.2151204467749379e+00 4.6215120446773646e+01 xlo xhi
-1.2274788693491190e+00 4.6227478869350719e+01 ylo yhi
-1.2226176983633918e+00 4.6222617698364239e+01 zlo zhi

Atoms
id type x y z
4375 3 3.59213 23.1337 23.4985 
4422 5 1.65789 25.0669 23.5181 
4423 5 -0.241902 27.054 23.539 
4427 3 3.60373 27.0587 23.4658 
5047 3 -0.158967 23.1712 27.1036 
5048 3 1.64309 23.1994 25.2866 
5051 5 3.60179 23.1627 27.1619 
5097 3 -0.204229 25.0629 25.3636 
5098 5 1.69791 25.0569 27.1619 
5099 3 -0.142909 26.9729 27.1207 
5100 5 1.70729 27.0325 25.346 
5101 5 3.59521 25.0695 25.2786 
5103 2 3.6461 26.9924 27.1594 
5723 3 -0.119032 23.166 30.7289 
5724 3 1.65937 23.1039 28.9467 
5727 5 3.63922 23.1662 30.6816 
5773 5 -0.238537 25.048 28.8995 
5774 5 1.72478 25.0592 30.6655 
5775 5 -0.227524 27.0122 30.6887 
5776 3 1.69919 27.036 28.88 
5777 2 3.66281 25.1015 28.9153 
5779 5 3.64959 27.0014 30.7042 
6400 3 1.68902 23.158 32.4845 
6449 5 -0.215334 25.077 32.5472 
6452 5 1.71361 27.0179 32.5233 
6453 5 3.70761 25.0408 32.5375 
6451 3 -0.251684 27.0157 34.3248 
6455 5 3.64533 27.0296 34.3453 
6450 5 1.68905 25.021 34.3436 
6399 3 -0.186074 23.1693 34.358 
7805 3 3.5572 25.0942 39.773 
7752 5 1.68618 23.2201 39.7652 
7804 5 1.66144 26.9686 39.8018 
7801 5 -0.222341 25.1087 39.7244 
7131 5 3.59468 26.9874 38.0047 
7075 3 -0.209297 23.1873 37.9601 
7076 3 1.66265 23.1847 36.2139 
7079 5 3.60443 23.1669 37.9668 
7125 5 -0.234356 25.0715 36.1938 
7126 3 1.67297 25.0631 37.9375 
7127 3 -0.208742 27.0366 38.0001 
7128 5 1.64941 26.9976 36.1602 
7129 5 3.65469 25.0684 36.1907 
6403 5 3.64641 23.1409 34.3802 
7751 5 -0.199211 23.2273 41.6233 
7755 5 3.55308 23.193 41.5784 
7802 3 1.65895 25.0984 41.635 
7803 3 -0.205636 26.9672 41.6011 
7807 5 3.59628 26.9973 41.6169 
8427 5 -0.188407 23.2558 45.1979 
8428 3 1.69158 23.2298 43.4151 
8431 3 3.54345 23.1843 45.2054 
8477 3 -0.171151 25.1234 43.3952 
8478 3 1.68717 25.0574 45.2468 
8479 5 -0.214845 26.9463 45.3119 
8480 5 1.66772 26.9739 43.4524 
8481 5 3.56783 25.0767 43.4716 
8483 3 3.59699 27.0195 45.2125 
417 3 -0.175701 28.9321 -0.341888 
