LAMMPS FCC Model for CoCuFeNiPd

  8788 atoms

 5 atom types

-1.2530497314545641e+00 4.6253049731452897e+01 xlo xhi
-1.2551195373430890e+00 4.6255119537342502e+01 ylo yhi
-1.2485814740622672e+00 4.6248581474063855e+01 zlo zhi

Atoms
id type x y z
5620 5 1.51405 16.1417 28.8369 
5621 5 3.39928 14.2423 28.8491 
5623 4 3.39493 16.1287 30.7346 
6241 2 -0.331468 10.6243 32.5549 
6244 1 1.5474 12.5021 32.5779 
6245 2 3.38968 10.6584 32.5296 
6243 3 -0.269898 12.501 34.357 
6299 2 3.40266 16.0363 34.3566 
6242 5 1.5569 10.668 34.3915 
7596 3 1.49875 12.4986 39.8586 
6247 3 3.33666 12.5212 34.3687 
6294 1 1.55204 14.2644 34.3778 
6295 3 -0.347048 16.0944 34.3772 
6975 1 3.32666 16.0391 38.0348 
7649 1 3.36009 14.2592 39.8254 
7648 5 1.51204 16.051 39.8322 
6919 2 -0.303292 12.4877 38.053 
6920 1 1.58258 12.5081 36.1997 
7645 2 -0.322454 14.2639 39.882 
6923 4 3.31551 12.5102 38.0757 
6969 2 -0.264734 14.308 36.1518 
6970 3 1.52338 14.2508 38.0068 
6971 3 -0.292213 16.1023 37.9846 
6972 3 1.50549 16.0715 36.2332 
6973 4 3.30545 14.3049 36.2219 
8327 4 3.33575 16.0984 45.317 
7595 3 -0.313665 12.4264 41.663 
7599 5 3.34401 12.4592 41.6402 
7646 1 1.48399 14.2623 41.6725 
7647 1 -0.371744 16.0818 41.691 
7651 4 3.36808 16.0398 41.6673 
8269 4 -0.351716 10.641 43.4246 
8270 5 1.45079 10.6835 45.3084 
8271 2 -0.34739 12.4624 45.2989 
8272 3 1.48287 12.463 43.4534 
8273 3 3.33282 10.6875 43.4788 
8275 3 3.36857 12.4466 45.2499 
8321 2 -0.313831 14.2434 43.4583 
8322 1 1.50361 14.2443 45.3037 
8323 3 -0.287072 16.0287 45.3275 
8324 2 1.49853 16.0316 43.5096 
8325 2 3.3301 14.2752 43.504 
261 2 -0.328829 17.8387 -0.312342 
262 2 1.50226 17.9341 1.50319 
263 3 -0.351636 19.6989 1.51957 
264 5 1.4655 19.706 -0.384142 
265 1 3.35125 17.8757 -0.366952 
